english,lagu,pos,image,audio
magic,zun,,,
world,mivora,noun,,
friend,glenth,noun,,
water,uah,,,
coffee,aldinn,noun,,
yes,yor,,,
no,nu,,,
fire,reha,,,
thank,bayn,,,
you,shu,,,
i,nie,,,
need,unn,,,
is,tayb,,,
cast,en,,,
fuck,furukoi,,,
me,ah,,,
spear,unga,,,
sword,avia,,,
kunai,petra,,,
don't,doy,,,
for,ankh,,,
bastard,aruku,,,
drink,gru,,,
twat,twaya,,,
waffle,fe,,,
eat,ena,,,

pancake,aif,,,
bull,bal,,,
shit,tish,,,
weed,blu,,,
something,bow,,,
we,nuk,,,
want,zan,,,
food,sun,,,
god,yawey,,,
angel,rin'g,,,
demon,morganstern,,,
hell,ll,,,
heaven,ven,,,
light,kumos,,,
dark,nox,,,
man,munn,,,
woman,munu,,,
know,nia,,,
of,de,,,
your,shuru,,,
him,uta,,,
his,utas,,,
her,ana,,,

hers,anas,,,
they,tes,,,
theirs,tesa,,,
them,tam,,,
are,re,,,
get,sta,,,
night,na,,,
day,sol,,,
human,hamunn,,,
fear,pa,,,
not,ot,,,
it,ars,,,
to,tah,,,
too,el,,,
retard,runar,,,
moon,Luna,,,
quiet,sen,,,
ball,baru,,,
see,sar,,,
language,lagu,,,
a,agh,,,
bitch,bit,,,
wolf,lupe,,,
fox,fo,,,
bunny,ooni,,,
welcome,therwi,,,
good,tch,,,
hand,imar,,,
heal,roga,,,
summon,umon,,,
angry,fio,,,
speed,spu,,,
meat,con,,,
shield,der,,,
orb,burra,,,
fat,taffa,,,
